3/14/16,7:03:18,29.8888,128.9567,Earthquake,210.5,5.5,MWW
3/14/16,7:26:41,-56.4283,-27.0089,Earthquake,84,5.6,MWW
3/14/16,23:25:40,-52.6136,18.7984,Earthquake,10,5.6,MWW
3/16/16,13:09:53,4.725,125.1481,Earthquake,10,5.5,MWW
3/18/16,0:31:26,-4.5473,153.0955,Earthquake,34.94,5.6,MWW
3/18/16,12:49:13,-12.5112,166.6214,Earthquake,29,5.5,MWW
3/18/16,16:11:00,38.0233,72.4114,Earthquake,10,5.6,MWW
3/18/16,22:46:57,49.673,-129.8485,Earthquake,10,5.5,MWW
3/19/16,1:35:12,51.5145,-174.1423,Earthquake,17,6,MWW
3/19/16,8:51:25,-5.5662,129.4922,Earthquake,269.8,5.7,MWW
3/19/16,10:24:45,11.8676,-88.7677,Earthquake,10,5.6,MWW
3/19/16,11:26:33,17.996,-60.7019,Earthquake,26,6,MWW
3/20/16,22:50:20,54.294,162.8129,Earthquake,30,6.4,MWW
3/21/16,14:48:51,27.7676,66.0962,Earthquake,10,5.6,MWB
3/26/16,3:24:24,-2.6503,68.0253,Earthquake,10,5.6,MWW
3/27/16,18:01:31,52.175,-168.6554,Earthquake,16,5.8,MWW
3/28/16,0:12:55,30.2073,-114.3078,Earthquake,10,5.5,MWW
3/28/16,17:14:55,52.29,-168.6929,Earthquake,11.24,5.5,MWW
3/28/16,19:07:09,-56.2536,-27.6408,Earthquake,29.71,5.5,MWC
3/29/16,9:18:11,2.3874,126.1019,Earthquake,55,5.5,MWW
4/1/16,2:39:08,33.3807,136.3901,Earthquake,14,5.9,MWW
4/1/16,19:24:55,-3.3585,144.887,Earthquake,6,6.2,MWW
4/2/16,5:50:00,57.008,-157.9321,Earthquake,11.4,5.9,ML
4/3/16,8:23:52,-14.3235,166.8551,Earthquake,26,6.9,MWW
4/5/16,8:29:21,4.2073,126.6515,Earthquake,35,5.9,MWW
4/6/16,6:54:53,-14.1516,166.7012,Earthquake,35,5.8,MWW
4/6/16,6:58:48,-14.0683,166.6245,Earthquake,24,6.7,MWW
4/6/16,7:57:38,-14.2026,166.6391,Earthquake,35,5.9,MWW
4/6/16,14:45:30,-8.2036,107.3857,Earthquake,29,6.1,MWW
4/6/16,20:35:15,-6.0292,130.4296,Earthquake,118,5.5,MWW
4/7/16,3:32:54,-13.9805,166.5943,Earthquake,27.59,6.7,MWW
4/10/16,2:14:35,-4.1489,102.211,Earthquake,41,5.7,MWW
4/10/16,7:11:22,16.0557,-96.2563,Earthquake,25,5.5,MWW
4/10/16,10:28:59,36.4725,71.1311,Earthquake,212,6.6,MWW
4/10/16,19:34:03,51.1243,179.5394,Earthquake,19,5.6,MWW
4/11/16,20:10:36,51.8545,176.6748,Earthquake,23,5.6,MWW
4/12/16,3:22:48,-3.7568,-103.9367,Earthquake,10,5.8,MWB
4/12/16,12:07:56,-55.2497,146.1742,Earthquake,9,5.5,MWB
4/13/16,13:55:18,23.0944,94.8654,Earthquake,136,6.9,MWW
4/13/16,18:21:53,7.7917,122.0231,Earthquake,17,6,MWW
4/14/16,3:06:09,53.77,160.8036,Earthquake,32,5.8,MWW
4/14/16,12:17:05,-14.4907,166.5026,Earthquake,7.47,5.9,MWW
4/14/16,12:26:36,32.788,130.7042,Earthquake,9,6.2,MWW
4/14/16,15:03:47,32.6973,130.7204,Earthquake,8,6,MWW
4/14/16,21:50:28,-14.5284,166.4334,Earthquake,16,6.4,MWW
4/14/16,23:15:08,-7.459,128.1235,Earthquake,136.78,5.6,MWW
4/15/16,4:50:11,2.0125,127.0004,Earthquake,89.95,5.6,MWC
4/15/16,14:11:26,13.4008,-92.367,Earthquake,22.41,6.1,MWW
4/15/16,16:25:06,32.7906,130.7543,Earthquake,10,7,MWW
4/15/16,16:45:57,32.9241,130.8091,Earthquake,10,5.7,MWW
4/15/16,18:55:53,33.0051,131.1569,Earthquake,13.22,5.5,MWR
4/16/16,7:34:21,-29.5755,-111.5741,Earthquake,10,5.5,MWC
4/16/16,23:58:37,0.3819,-79.9218,Earthquake,20.59,7.8,MWW
4/17/16,0:29:31,-0.2648,-80.4644,Earthquake,15.49,5.5,MB
4/17/16,7:14:01,-0.3852,-80.2013,Earthquake,23.95,5.8,MWW
4/17/16,7:31:00,-23.4947,-174.2467,Earthquake,10,5.7,MWW
4/17/16,9:23:41,-0.2344,-80.6943,Earthquake,10,5.6,MWB
4/18/16,11:42:00,33.0143,131.0991,Earthquake,10.46,5.5,MWW
4/18/16,13:06:11,-19.492,169.0934,Earthquake,76,5.9,MWW
4/19/16,5:25:40,-55.7283,-27.2307,Earthquake,14,6.2,MWW
4/19/16,22:22:25,0.5783,-80.0247,Earthquake,11,5.6,MWB
4/20/16,8:33:47,0.639,-80.2104,Earthquake,14,6.2,MWW
4/20/16,8:35:11,0.7079,-80.0352,Earthquake,10,6,MWB
4/20/16,10:51:42,13.2,-55.8867,Earthquake,28,5.6,MWW
4/20/16,12:19:44,37.8013,141.6216,Earthquake,33.11,5.9,MWW
4/22/16,3:03:42,-0.2921,-80.5039,Earthquake,10,6,MWW
4/22/16,3:20:13,-0.2814,-80.5039,Earthquake,10.29,5.9,MWW
4/23/16,1:24:34,0.6128,-80.2522,Earthquake,10,5.7,MWW
4/24/16,8:38:00,-59.3074,-27.027,Earthquake,10,5.5,MWW
4/24/16,22:24:36,-17.6976,-173.2031,Earthquake,27.17,5.7,MWW
4/25/16,7:07:09,14.479,-93.1509,Earthquake,16,6,MWW
4/26/16,4:19:55,-4.5105,140.1922,Earthquake,107,5.6,MWW
4/27/16,12:51:19,14.5178,-93.0882,Earthquake,16,6,MWW
4/27/16,15:17:14,24.2309,121.8009,Earthquake,13,5.5,MWW
4/28/16,19:33:24,-16.0429,167.3786,Earthquake,24,7,MWW
4/29/16,1:33:39,10.2752,-103.7363,Earthquake,10,6.6,MWW
4/30/16,8:35:42,-16.3487,167.2001,Earthquake,2.99,5.8,MWW
5/2/16,4:21:25,-5.0262,104.6271,Earthquake,117,5.7,MWW
5/2/16,12:17:16,-6.0785,-107.1631,Earthquake,15.03,5.6,MWC
5/3/16,0:00:52,43.6954,147.5063,Earthquake,61,5.7,MWW
5/3/16,2:34:59,-55.7642,-143.9055,Earthquake,10,5.5,MWB
5/4/16,14:36:24,-14.855,166.9341,Earthquake,26,5.7,MWW
5/5/16,7:01:47,13.7719,51.7683,Earthquake,10,5.5,MWB
5/5/16,11:01:47,-8.9416,-108.2391,Earthquake,10,5.6,MWB
5/7/16,0:18:37,18.3754,-105.3371,Earthquake,10,5.6,MWB
5/8/16,7:34:01,16.4107,-97.8416,Earthquake,22,5.8,MWW
5/9/16,1:33:34,-62.5795,165.344,Earthquake,10,5.5,MWB
5/12/16,3:17:15,24.6953,121.9839,Earthquake,8,5.8,MWW
5/12/16,4:29:56,24.6833,122.0531,Earthquake,9,5.7,MWW
5/13/16,7:01:10,30.659,66.3878,Earthquake,10,5.5,MWB
5/13/16,12:57:27,-25.4822,179.3397,Earthquake,506.36,5.6,MWW
5/14/16,18:21:06,8.5599,-102.7916,Earthquake,10,5.8,MWW
5/16/16,0:41:53,-22.517,172.9882,Earthquake,10,5.8,MWW
5/16/16,6:39:05,8.5038,-103.1118,Earthquake,10,5.5,MWC
5/18/16,7:57:03,0.4261,-79.7899,Earthquake,16,6.7,MWW
5/18/16,16:46:44,0.4947,-79.616,Earthquake,29.95,6.9,MWW
5/20/16,18:14:05,-25.5655,129.8841,Earthquake,10,6,MWW
5/21/16,6:06:42,30.9561,140.0808,Earthquake,124.52,5.5,MWW
5/27/16,3:44:29,26.9924,130.1374,Earthquake,10,5.9,MWW
5/27/16,3:46:51,27.6887,128.5829,Earthquake,10,5.5,MB
5/27/16,4:08:44,-20.8101,-178.6481,Earthquake,567.48,6.4,MWW
5/28/16,5:38:51,-21.9724,-178.2038,Earthquake,405.69,6.9,MWW
5/28/16,9:47:00,-56.2409,-26.9353,Earthquake,78,7.2,MWW
5/30/16,7:14:19,-30.2689,-177.9791,Earthquake,47,5.7,MWW
5/31/16,5:23:47,25.5615,122.5458,Earthquake,246.4,6.4,MWW
5/31/16,10:04:01,47.5484,154.3641,Earthquake,18.37,5.9,MWW
5/31/16,20:51:22,55.3979,-158.5143,Earthquake,37.54,5.7,MWW
6/1/16,15:37:23,-30.2228,-177.9545,Earthquake,43.85,5.5,MWC
6/1/16,22:56:01,-2.0967,100.6654,Earthquake,50,6.6,MWW
6/2/16,2:23:06,18.0217,-105.8338,Earthquake,10,5.8,MWW
6/5/16,5:51:12,-29.3424,-71.8594,Earthquake,28,5.8,MWW
6/5/16,16:25:34,-4.587,125.6264,Earthquake,429.62,6.3,MWW
6/5/16,22:33:49,-17.6471,-172.6317,Earthquake,10,5.6,MWW
